Datum,Bundesland,Bundesland_Id,Altersgruppe,7T_Hospitalisierung_Faelle,7T_Hospitalisierung_Inzidenz
2021-11-19,Sachsen,14,15-34,4,0.51
2021-11-19,Sachsen,14,35-59,12,0.89
2021-11-19,Sachsen,14,60-79,32,3.16
2021-11-19,Sachsen,14,80+,40,11.05
2021-11-19,Sachsen-Anhalt,15,00-04,3,3.41
2021-11-19,Sachsen-Anhalt,15,00+,260,11.92
2021-11-19,Sachsen-Anhalt,15,05-14,14,7.65
2021-11-19,Sachsen-Anhalt,15,15-34,15,3.82
2021-11-19,Sachsen-Anhalt,15,35-59,57,7.69
2021-11-19,Sachsen-Anhalt,15,60-79,82,14.04
2021-11-19,Sachsen-Anhalt,15,80+,89,46.52
2021-11-19,Thüringen,16,00-04,5,5.7
2021-11-19,Thüringen,16,00+,372,17.55
2021-11-19,Thüringen,16,05-14,7,3.8
2021-11-19,Thüringen,16,15-34,25,6.46
2021-11-19,Thüringen,16,35-59,55,7.61
2021-11-19,Thüringen,16,60-79,145,25.92
2021-11-19,Thüringen,16,80+,134,74.79
2021-11-18,Bundesgebiet,00,00-04,102,2.57
2021-11-18,Bundesgebiet,00,00+,5116,6.15
2021-11-18,Bundesgebiet,00,05-14,106,1.41
2021-11-18,Bundesgebiet,00,15-34,440,2.33
2021-11-18,Bundesgebiet,00,35-59,1054,3.68
2021-11-18,Bundesgebiet,00,60-79,1751,9.65
2021-11-18,Bundesgebiet,00,80+,1661,27.98
2021-11-18,Schleswig-Holstein,01,00-04,3,2.32
2021-11-18,Schleswig-Holstein,01,00+,96,3.3
2021-11-18,Schleswig-Holstein,01,05-14,6,2.3
2021-11-18,Schleswig-Holstein,01,15-34,3,0.48
2021-11-18,Schleswig-Holstein,01,35-59,18,1.78
2021-11-18,Schleswig-Holstein,01,60-79,39,5.89
2021-11-18,Schleswig-Holstein,01,80+,27,12.25
2021-11-18,Hamburg,02,00-04,1,1.01
2021-11-18,Hamburg,02,00+,43,2.32
2021-11-18,Hamburg,02,05-14,1,0.6
2021-11-18,Hamburg,02,15-34,2,0.41
2021-11-18,Hamburg,02,35-59,8,1.22
2021-11-18,Hamburg,02,60-79,14,4.3
2021-11-18,Hamburg,02,80+,17,15.11
2021-11-18,Niedersachsen,03,00-04,2,0.53
2021-11-18,Niedersachsen,03,00+,202,2.52
2021-11-18,Niedersachsen,03,05-14,3,0.41
2021-11-18,Niedersachsen,03,15-34,24,1.32
2021-11-18,Niedersachsen,03,35-59,30,1.1
2021-11-18,Niedersachsen,03,60-79,61,3.45
2021-11-18,Niedersachsen,03,80+,82,14.13
2021-11-18,Bremen,04,00-04,0,0
2021-11-18,Bremen,04,00+,30,4.41
2021-11-18,Bremen,04,05-14,2,3.33
2021-11-18,Bremen,04,15-34,6,3.47
2021-11-18,Bremen,04,35-59,9,3.99
2021-11-18,Bremen,04,60-79,6,4.28
2021-11-18,Bremen,04,80+,7,14.78
2021-11-18,Nordrhein-Westfalen,05,00-04,22,2.53
2021-11-18,Nordrhein-Westfalen,05,00+,827,4.61
2021-11-18,Nordrhein-Westfalen,05,05-14,14,0.85
2021-11-18,Nordrhein-Westfalen,05,15-34,104,2.48
2021-11-18,Nordrhein-Westfalen,05,35-59,180,2.93
2021-11-18,Nordrhein-Westfalen,05,60-79,266,6.95
2021-11-18,Nordrhein-Westfalen,05,80+,241,19.08
2021-11-18,Hessen,06,00-04,9,2.95
2021-11-18,Hessen,06,00+,346,5.5
2021-11-18,Hessen,06,05-14,11,1.9
2021-11-18,Hessen,06,15-34,46,3.12
2021-11-18,Hessen,06,35-59,76,3.46
2021-11-18,Hessen,06,60-79,108,8.18
2021-11-18,Hessen,06,80+,96,22.74
2021-11-18,Rheinland-Pfalz,07,00-04,3,1.54
2021-11-18,Rheinland-Pfalz,07,00+,181,4.42
2021-11-18,Rheinland-Pfalz,07,05-14,5,1.37
2021-11-18,Rheinland-Pfalz,07,15-34,13,1.42
2021-11-18,Rheinland-Pfalz,07,35-59,49,3.49
2021-11-18,Rheinland-Pfalz,07,60-79,60,6.49
2021-11-18,Rheinland-Pfalz,07,80+,51,17.38
2021-11-18,Baden-Württemberg,08,00-04,8,1.46
2021-11-18,Baden-Württemberg,08,00+,750,6.75
2021-11-18,Baden-Württemberg,08,05-14,10,0.98
2021-11-18,Baden-Württemberg,08,15-34,54,2.02
2021-11-18,Baden-Württemberg,08,35-59,177,4.63
2021-11-18,Baden-Württemberg,08,60-79,260,11.37
2021-11-18,Baden-Württemberg,08,80+,240,31.91
2021-11-18,Bayern,09,00-04,27,4.18
2021-11-18,Bayern,09,00+,1390,10.58
2021-11-18,Bayern,09,05-14,15,1.28
2021-11-18,Bayern,09,15-34,107,3.45
2021-11-18,Bayern,09,35-59,290,6.3
2021-11-18,Bayern,09,60-79,496,18.07
2021-11-18,Bayern,09,80+,455,52.2
2021-11-18,Saarland,10,00-04,1,2.42
2021-11-18,Saarland,10,00+,29,2.95
2021-11-18,Saarland,10,05-14,2,2.5
2021-11-18,Saarland,10,15-34,1,0.47
2021-11-18,Saarland,10,35-59,7,2.12
2021-11-18,Saarland,10,60-79,8,3.29
2021-11-18,Saarland,10,80+,10,12.81
2021-11-18,Berlin,11,00-04,1,0.52
2021-11-18,Berlin,11,00+,139,3.79
2021-11-18,Berlin,11,05-14,8,2.41
2021-11-18,Berlin,11,15-34,23,2.42
2021-11-18,Berlin,11,35-59,22,1.72
2021-11-18,Berlin,11,60-79,50,7.2
2021-11-18,Berlin,11,80+,35,15.82
2021-11-18,Brandenburg,12,00-04,1,0.92
2021-11-18,Brandenburg,12,00+,101,3.99
2021-11-18,Brandenburg,12,05-14,5,2.17
2021-11-18,Brandenburg,12,15-34,6,1.38
2021-11-18,Brandenburg,12,35-59,25,2.75
2021-11-18,Brandenburg,12,60-79,32,5.01
2021-11-18,Brandenburg,12,80+,32,15.34
